"","ï..Sample","Rep","Set","mAU","short_name_antho","Extract_ini_vol","Extract_final_vol","Skin_weight_aft","Berry_weight","Berry_numb","dilution_factor","concetration_mg_l","antho_mg_berry","antho_mg_g_berry_weight","antho_mg_g_Skin","Block_id","treatment","main_antho","hydroxylation","total_antho_mg_berry"
"41","B2R2",2,"1st point",176.963,"D3G",54,52,7.08,59.2,60,0.962962962962963,32.5532940198999,0.0292979646179099,0.0296938830586925,0.248287835744999,"B2R2",2,"Delphinidins","trihydroxylated",0.31185037631467
"42","B2R2",3,"1st point",135.043,"D3G",54,54,6.92,59.3,60,1,26.1598942184935,0.0235439047966442,0.0238218261011577,0.204137902861077,"B2R2",2,"Delphinidins","trihydroxylated",0.292348561006748
"43","B2R3",1,"1st point",84.751,"D3G",44,52,5.74,47,60,1.18181818181818,20.0761875549218,0.014722537540276,0.0187947287748204,0.153894120630063,"B2R3",2,"Delphinidins","trihydroxylated",0.184633572861572
"44","B2R3",2,"1st point",59.151,"D3G",44,51,5.77,47,60,1.15909090909091,14.2783384179199,0.0104707815064746,0.0133669551146484,0.10888161011932,"B2R3",2,"Delphinidins","trihydroxylated",0.150099706365129
"45","B2R3",3,"1st point",49.997,"D3G",44,51.5,6.3,46.9,60,1.17045454545455,12.4642201929932,0.00914042814152836,0.0116935114816994,0.0870516965859844,"B2R3",2,"Delphinidins","trihydroxylated",0.135213940361116
"46","B3R1",1,"1st point",119.829,"D3G",48,57,6.38,51.9,60,1.1875,27.769848850994,0.0222158790807952,0.0256830972032314,0.208926762515315,"B3R1",3,"Delphinidins","trihydroxylated",0.237570933795368
"47","B3R1",2,"1st point",90.199,"D3G",48,56,6.52,51.9,60,1.16666666666667,20.9780199404219,0.0167824159523375,0.0194016369391185,0.154439410604333,"B3R1",3,"Delphinidins","trihydroxylated",0.204507138427868
"48","B3R1",3,"1st point",152.726,"D3G",48,57,5.99,51.9,60,1.1875,34.8946322724786,0.0279157058179829,0.0322724922751247,0.279623096674286,"B3R1",3,"Delphinidins","trihydroxylated",0.279743448841875
"49","B3R2",1,"1st point",114.827,"D3G",44,56,6.03,49.4,60,1.27272727272727,28.6018238190772,0.0209746708006566,0.0254753086647651,0.208703192046334,"B3R2",3,"Delphinidins","trihydroxylated",0.240359360447444
"50","B3R2",2,"1st point",106.312,"D3G",44,52.5,5.42,49.4,60,1.19318181818182,24.9612200106113,0.0183048946744483,0.0222326655964959,0.202637210418247,"B3R2",3,"Delphinidins","trihydroxylated",0.211251044136422
"51","B3R2",3,"1st point",111.045,"D3G",45,54,6.38,49.7,60,1.2,26.1397118365858,0.0196047838774394,0.0236677471357417,0.184371008251781,"B3R2",3,"Delphinidins","trihydroxylated",0.225453923034835
"52","B3R3",1,"1st point",152.21,"D3G",46,52.5,6.39,51.1,60,1.14130434782609,33.4297680974395,0.0256294888747036,0.0300933333166774,0.240652477696748,"B3R3",3,"Delphinidins","trihydroxylated",0.244461467262448
"53","B3R3",2,"1st point",142.935,"D3G",46,53.5,6.05,51.4,60,1.16304347826087,32.0991303158379,0.0246093332421424,0.0287268481425787,0.244059503227858,"B3R3",3,"Delphinidins","trihydroxylated",0.237478885950514
"54","B3R3",3,"1st point",166.138,"D3G",46,54,6.25,51.3,60,1.17391304347826,37.3668960978201,0.0286479536749954,0.0335063785672461,0.275020355279956,"B3R3",3,"Delphinidins","trihydroxylated",0.271337508663141
"55","B1R2",1,"Harvest",24,"C3G",69,54.5,10.67,75.33,60,0.789855072463768,4.66619524908347,0.00536612453644598,0.00427409361724093,0.0301750208235013,"B1R2",1,"Cyanidins","dihydroxylated",0.646739529150708
"56","B1R2",2,"Harvest",18.925,"C3G",69,57,11.24,75.67,60,0.826086956521739,4.11562457873744,0.00473296826554806,0.00375284915994296,0.0252649551541711,"B1R2",1,"Cyanidins","dihydroxylated",0.552419438263724
"57","B1R2",3,"Harvest",24.766,"C3G",69,51.5,10.58,75.98,60,0.746376811594203,4.51361269483806,0.00519065459906377,0.00409896388449363,0.0294366045315526,"B1R2",1,"Cyanidins","dihydroxylated",0.578645878472856
"58","B1R3",1,"Harvest",21.719,"C3G",47,52,8.71,52.66,60,1.1063829787234,6.07586466486354,0.00475942732080978,0.00542281882355842,0.0327859516932935,"B1R3",1,"Cyanidins","dihydroxylated",0.417779867469147
"59","B1R3",2,"Harvest",21.439,"C3G",47,57,8.71,52.89,60,1.21276595744681,6.59815018179984,0.00516855097574321,0.00586335901956121,0.0356042547123527,"B1R3",1,"Cyanidins","dihydroxylated",0.436330408535473
"60","B1R3",3,"Harvest",17.617,"C3G",47,57,8.76,52.14,60,1.21276595744681,5.75277511534686,0.0045063405070217,0.00518566226354627,0.0308653459385048,"B1R3",1,"Cyanidins","dihydroxylated",0.370983645814335
"61","B1R4",1,"Harvest",25.658,"C3G",47,53,8.05,51.76,60,1.12765957446809,7.00282148691701,0.00548554349808499,0.00635882167475076,0.0408860384950434,"B1R4",1,"Cyanidins","dihydroxylated",0.425581944799076
"62","B1R4",2,"Harvest",26.734,"C3G",47,52,7.04,51.59,60,1.1063829787234,7.08781262005192,0.00555211988570734,0.00645720475174337,0.0473192035713694,"B1R4",1,"Cyanidins","dihydroxylated",0.443196768192595
"63","B1R4",3,"Harvest",25.421,"C3G",47,54.5,8.19,51.77,60,1.15957446808511,7.15089250720797,0.00560153246397957,0.00649202139924231,0.0410368678679822,"B1R4",1,"Cyanidins","dihydroxylated",0.438307262751535
"64","B2R1",1,"Harvest",32.536,"C3G",60,50.5,9.79,67.05,60,0.841666666666667,6.28259727035078,0.00628259727035078,0.00562201098017967,0.0385041712176759,"B2R1",2,"Cyanidins","dihydroxylated",0.593765577542708
"65","B2R1",2,"Harvest",25.987,"C3G",60,53.5,10.54,67.21,60,0.891666666666667,5.59079716092164,0.00559079716092164,0.0049910404650394,0.0318261697965179,"B2R1",2,"Cyanidins","dihydroxylated",0.542577361541735
"66","B2R1",3,"Harvest",27.395,"C3G",61,50.5,10.56,67.11,60,0.827868852459016,5.40337301883915,0.00549342923581981,0.00491142533376827,0.0312126661126125,"B2R1",2,"Cyanidins","dihydroxylated",0.571695735910998
"67","B2R2",1,"Harvest",42.65,"C3G",58,51,10.42,64.16,60,0.879310344827586,8.18557264774507,0.00791272022615357,0.00739967602196406,0.045562688442343,"B2R2",2,"Cyanidins","dihydroxylated",0.554522358198067
"68","B2R2",2,"Harvest",30.631,"C3G",58,53,10.23,64.18,60,0.913793103448276,6.50349701585465,0.00628671378199283,0.00587726436459286,0.0368722215952658,"B2R2",2,"Cyanidins","dihydroxylated",0.503809867469147
"69","B2R2",3,"Harvest",38.924,"C3G",58,54.5,10.71,64.23,60,0.939655172413793,8.10878027382442,0.00783848759803028,0.00732226772352198,0.0439130957872845,"B2R2",2,"Cyanidins","dihydroxylated",0.509194868381057
"70","B2R3",1,"Harvest",21.174,"C3G",52,53.5,7.54,57.23,60,1.02884615384615,5.54779440648718,0.00480808848562223,0.00504080568123945,0.0382606510792219,"B2R3",2,"Cyanidins","dihydroxylated",0.491965398808438
"71","B2R3",2,"Harvest",22.656,"C3G",52,59,7.01,56.82,60,1.13461538461538,6.42480358871477,0.00556816311021947,0.00587979209104484,0.0476590280475275,"B2R3",2,"Cyanidins","dihydroxylated",0.472700403064016
"72","B2R3",3,"Harvest",20.543,"C3G",52,54,7.31,57.06,60,1.03846153846154,5.48013369996773,0.0047494492066387,0.00499416320361588,0.0389831672227527,"B2R3",2,"Cyanidins","dihydroxylated",0.440810807951851
"73","B3R1",1,"Harvest",27.109,"C3G",56,57.5,8.93,62.67,60,1.02678571428571,6.64811446418801,0.00620490683324214,0.00594055225777132,0.0416903034708319,"B3R1",3,"Cyanidins","dihydroxylated",0.498123489269864
"74","B3R1",2,"Harvest",22.255,"C3G",56,55.5,9.59,62.56,60,0.991071428571429,5.5394982217764,0.00517019834032464,0.00495863012179473,0.032347434871687,"B3R1",3,"Cyanidins","dihydroxylated",0.404654754696334
"75","B3R1",3,"Harvest",25.238,"C3G",56,52.5,8.9,62.95,60,0.9375,5.75010828925771,0.00536676773664053,0.00511526710402592,0.0361804566515092,"B3R1",3,"Cyanidins","dihydroxylated",0.409775027357286
"76","B3R2",1,"Harvest",31.418,"C3G",55,56.5,9.17,61.52,60,1.02727272727273,7.4585845505944,0.00683703583804487,0.00666811037520631,0.0447352399435869,"B3R2",3,"Cyanidins","dihydroxylated",0.474395522828135
"77","B3R2",2,"Harvest",38.897,"C3G",55,52.5,9.66,61.82,60,0.954545454545455,8.23257589574387,0.00754652790443188,0.00732435577913156,0.0468728441269061,"B3R2",3,"Cyanidins","dihydroxylated",0.491262534196608
"78","B3R2",3,"Harvest",29.329,"C3G",55,59,8.45,61.45,60,1.07272727272727,7.37990582461493,0.00676491367256368,0.00660528592927292,0.0480348899827007,"B3R2",3,"Cyanidins","dihydroxylated",0.50080960423126
"79","B3R3",1,"Harvest",45.156,"C3G",54,54,8.69,60.68,60,1,9.76613167973737,0.00878951851176363,0.00869102028190208,0.0606871243620044,"B3R3",3,"Cyanidins","dihydroxylated",0.547544603319351
"80","B3R3",2,"Harvest",40.243,"C3G",54,51,8.82,60.48,60,0.944444444444444,8.37730662451618,0.00753957596206456,0.00747973805760373,0.051289632394997,"B3R3",3,"Cyanidins","dihydroxylated",0.482968108699617
"81","B3R3",3,"Harvest",38.94,"C3G",54,54,8.45,60.31,60,1,8.63244574138245,0.00776920116724421,0.00772926662302525,0.0551659254478879,"B3R3",3,"Cyanidins","dihydroxylated",0.482112814152836
"82","B1R2",1,"1st point",20.247,"C3G",56,55.5,6.57,60.8,60,0.991071428571429,5.17654519814492,0.00483144218493525,0.00476787057723874,0.044122759679774,"B1R2",1,"Cyanidins","dihydroxylated",0.266494035199708
"83","B1R2",2,"1st point",17.812,"C3G",56,54.5,6.69,60.8,60,0.973214285714286,4.65106970245695,0.00434099838895982,0.00428387998910508,0.0389327209772181,"B1R2",1,"Cyanidins","dihydroxylated",0.243837950027357
"84","B1R2",3,"1st point",16.401,"C3G",56,55,5.95,60.5,60,0.982142857142857,4.44099456762461,0.0041449282631163,0.004110672657636,0.0417975959305845,"B1R2",1,"Cyanidins","dihydroxylated",0.218020615234969
