Sample,Rep,Set,mAU,short_name_antho,Extract_ini_vol,Extract_final_vol,Skin_weight_aft,Berry_weight,Berry_numb
B3R3,3,1st point,111.656,Pet3G,46,54,6.25,51.3,60
B1R2,1,Harvest,181.209,Peo3G,69,54.5,10.67,75.33,60
B1R2,2,Harvest,147.553,Peo3G,69,57,11.24,75.67,60
B1R2,3,Harvest,184.068,Peo3G,69,51.5,10.58,75.98,60
B1R3,1,Harvest,124.264,Peo3G,47,52,8.71,52.66,60
B1R3,2,Harvest,118.976,Peo3G,47,57,8.71,52.89,60
B1R3,3,Harvest,100.997,Peo3G,47,57,8.76,52.14,60
B1R4,1,Harvest,130.460,Peo3G,47,53,8.05,51.76,60
B1R4,2,Harvest,145.275,Peo3G,47,52,7.04,51.59,60
B1R4,3,Harvest,137.727,Peo3G,47,54.5,8.19,51.77,60
B2R1,1,Harvest,186.269,Peo3G,60,50.5,9.79,67.05,60
B2R1,2,Harvest,157.421,Peo3G,60,53.5,10.54,67.21,60
B2R1,3,Harvest,176.395,Peo3G,61,50.5,10.56,67.11,60
B2R2,1,Harvest,223.059,Peo3G,58,51,10.42,64.16,60
B2R2,2,Harvest,182.808,Peo3G,58,53,10.23,64.18,60
B2R2,3,Harvest,192.734,Peo3G,58,54.5,10.71,64.23,60
B2R3,1,Harvest,137.637,Peo3G,52,53.5,7.54,57.23,60
B2R3,2,Harvest,130.015,Peo3G,52,59,7.01,56.82,60
B2R3,3,Harvest,129.760,Peo3G,52,54,7.31,57.06,60
B3R1,1,Harvest,149.362,Peo3G,56,57.5,8.93,62.67,60
B3R1,2,Harvest,129.151,Peo3G,56,55.5,9.59,62.56,60
B3R1,3,Harvest,140.106,Peo3G,56,52.5,8.9,62.95,60
B3R2,1,Harvest,161.945,Peo3G,55,56.5,9.17,61.52,60
B3R2,2,Harvest,182.178,Peo3G,55,52.5,9.66,61.82,60
B3R2,3,Harvest,158.200,Peo3G,55,59,8.45,61.45,60
B3R3,1,Harvest,196.329,Peo3G,54,54,8.69,60.68,60
B3R3,2,Harvest,187.399,Peo3G,54,51,8.82,60.48,60
B3R3,3,Harvest,178.367,Peo3G,54,54,8.45,60.31,60
B1R2,1,1st point,93.530,Peo3G,56,55.5,6.57,60.8,60
B1R2,2,1st point,84.240,Peo3G,56,54.5,6.69,60.8,60
B1R2,3,1st point,76.032,Peo3G,56,55,5.95,60.5,60
B1R3,1,1st point,90.134,Peo3G,34,52.5,4.94,42,60
B1R3,2,1st point,76.032,Peo3G,34,53,5.25,42,60
B1R3,3,1st point,74.957,Peo3G,34,54.5,5.1,42.3,60
B1R4,1,1st point,96.637,Peo3G,36,51.5,5.8,44.8,60
B1R4,2,1st point,98.619,Peo3G,36,50,5.66,44.7,60
B1R4,3,1st point,76.116,Peo3G,36,54,6.27,45,60
B2R1,1,1st point,80.496,Peo3G,50,50,6.32,54.9,60
B2R1,2,1st point,77.222,Peo3G,50,53,5.99,54.9,60
B2R1,3,1st point,86.460,Peo3G,50,52,5.92,55.1,60
B2R2,1,1st point,168.709,Peo3G,54,52.5,6.6,59.6,60
B2R2,2,1st point,139.036,Peo3G,54,52,7.08,59.2,60
B2R2,3,1st point,122.414,Peo3G,54,54,6.92,59.3,60
B2R3,1,1st point,72.047,Peo3G,44,52,5.74,47,60
B2R3,2,1st point,58.309,Peo3G,44,51,5.77,47,60
B2R3,3,1st point,52.921,Peo3G,44,51.5,6.3,46.9,60
B3R1,1,1st point,102.388,Peo3G,48,57,6.38,51.9,60
B3R1,2,1st point,93.830,Peo3G,48,56,6.52,51.9,60
B3R1,3,1st point,125.977,Peo3G,48,57,5.99,51.9,60
B3R2,1,1st point,103.733,Peo3G,44,56,6.03,49.4,60
B3R2,2,1st point,99.460,Peo3G,44,52.5,5.42,49.4,60
B3R2,3,1st point,98.040,Peo3G,45,54,6.38,49.7,60
B3R3,1,1st point,141.271,Peo3G,46,52.5,6.39,51.1,60
B3R3,2,1st point,131.737,Peo3G,46,53.5,6.05,51.4,60
B3R3,3,1st point,150.054,Peo3G,46,54,6.25,51.3,60
B1R2,1,Harvest,1625.990,M3G,69,54.5,10.67,75.33,60
B1R2,2,Harvest,1344.500,M3G,69,57,11.24,75.67,60
B1R2,3,Harvest,1545.547,M3G,69,51.5,10.58,75.98,60
B1R3,1,Harvest,1034.248,M3G,47,52,8.71,52.66,60
B1R3,2,Harvest,998.653,M3G,47,57,8.71,52.89,60
B1R3,3,Harvest,854.224,M3G,47,57,8.76,52.14,60
B1R4,1,Harvest,1052.303,M3G,47,53,8.05,51.76,60
B1R4,2,Harvest,1090.197,M3G,47,52,7.04,51.59,60
B1R4,3,Harvest,1039.898,M3G,47,54.5,8.19,51.77,60
B2R1,1,Harvest,1600.471,M3G,60,50.5,9.79,67.05,60
B2R1,2,Harvest,1381.632,M3G,60,53.5,10.54,67.21,60
B2R1,3,Harvest,1539.578,M3G,61,50.5,10.56,67.11,60
B2R2,1,Harvest,1484.595,M3G,58,51,10.42,64.16,60
B2R2,2,Harvest,1318.878,M3G,58,53,10.23,64.18,60
B2R2,3,Harvest,1262.580,M3G,58,54.5,10.71,64.23,60
