Date_analysis,Date_sampled,Block_id,Rep,Control,Treated,dif_abs,Conc_mg_l,Extract_ini_vol,Extract_final_vol,dilution_factor,Conc_w_dil_factor,Skin_weight_aft,Berry_weight,Berry_numb,con_mg_g_skin,conc_mg_g_berry_weight,con_mg_berry,treatment
1/15/2020,9/16/2019,B2R1,3,2.006,0.784,1.222,3725,60,53.5,0.89,3321,10.54,67.21,60,18.91,2.96,3.32,2
1/15/2020,9/19/2019,B2R2,1,2.022,0.773,1.249,3809,58,51,0.88,3349,10.42,64.16,60,18.64,3.03,3.24,2
1/15/2020,9/19/2019,B2R2,2,1.891,0.707,1.184,3606,58,53,0.91,3295,10.23,64.18,60,18.68,2.98,3.19,2
1/15/2020,9/19/2019,B2R2,3,1.77,0.694,1.076,3269,58,54.5,0.94,3071,10.71,64.23,60,16.63,2.77,2.97,2
1/15/2020,9/19/2019,B2R3,1,1.396,0.641,0.755,2267,52,53.5,1.03,2332,7.54,57.23,60,16.08,2.12,2.02,2
1/15/2020,9/19/2019,B2R3,2,1.305,0.585,0.72,2157,52,54,1.04,2240,7.31,57.06,60,15.94,2.04,1.94,2
1/15/2020,9/19/2019,B2R3,3,1.359,0.606,0.753,2260,52,59,1.13,2565,7.01,56.82,60,19.02,2.35,2.22,2
1/15/2020,9/19/2019,B3R1,1,1.381,0.556,0.825,2485,56,57.5,1.03,2552,8.93,62.67,60,16,2.28,2.38,3
1/15/2020,9/19/2019,B3R1,2,1.241,0.481,0.76,2282,56,55.5,0.99,2262,9.59,62.56,60,13.21,2.02,2.11,3
1/15/2020,9/19/2019,B3R1,3,1.391,0.541,0.85,2563,56,52.5,0.94,2403,8.9,62.95,60,15.12,2.14,2.24,3
1/15/2020,9/19/2019,B3R2,1,1.37,0.576,0.794,2388,55,52.5,0.95,2280,9.66,61.82,60,12.98,2.03,2.09,3
1/15/2020,9/19/2019,B3R2,2,1.586,0.632,0.954,2888,55,59,1.07,3098,8.45,61.45,60,20.16,2.77,2.84,3
1/15/2020,9/19/2019,B3R2,3,1.369,0.558,0.811,2441,55,56.5,1.03,2508,9.17,61.52,60,15.04,2.24,2.3,3
1/15/2020,9/19/2019,B3R3,1,1.517,0.688,0.829,2498,54,54,1,2498,8.69,60.68,60,15.52,2.22,2.25,3
1/15/2020,9/19/2019,B3R3,2,1.678,0.663,1.015,3078,54,54,1,3078,8.45,60.31,60,19.67,2.76,2.77,3
1/15/2020,9/19/2019,B3R3,3,1.491,0.587,0.904,2732,54,51,0.94,2580,8.82,60.48,60,15.8,2.3,2.32,3
1/15/2020,9/19/2019,B3R1,1,1.458,0.568,0.89,2688,56,57.5,1.03,2760,8.93,62.67,60,17.31,2.47,2.58,3
1/15/2020,9/19/2019,B3R1,2,1.367,0.531,0.836,2519,56,55.5,0.99,2497,9.59,62.56,60,14.58,2.24,2.33,3
1/15/2020,9/19/2019,B3R1,3,1.372,0.556,0.816,2457,56,52.5,0.94,2303,8.9,62.95,60,14.49,2.05,2.15,3
1/15/2020,9/19/2019,B3R2,1,1.502,0.584,0.918,2775,55,52.5,0.95,2649,9.66,61.82,60,15.08,2.36,2.43,3
1/15/2020,9/19/2019,B3R2,2,1.628,0.58,1.048,3181,55,59,1.07,3413,8.45,61.45,60,22.21,3.05,3.13,3
1/15/2020,9/19/2019,B3R2,3,1.388,0.505,0.883,2666,55,56.5,1.03,2739,9.17,61.52,60,16.43,2.45,2.51,3
1/15/2020,9/19/2019,B3R3,1,1.641,0.677,0.964,2919,54,54,1,2919,8.69,60.68,60,18.14,2.6,2.63,3
1/15/2020,9/19/2019,B3R3,2,1.768,0.672,1.096,3331,54,54,1,3331,8.45,60.31,60,21.29,2.98,3,3
1/15/2020,9/19/2019,B3R3,3,1.486,0.627,0.859,2591,54,51,0.94,2447,8.82,60.48,60,14.98,2.19,2.2,3
1/15/2020,9/19/2019,B3R1,1,1.411,0.571,0.84,2532,56,57.5,1.03,2600,8.93,62.67,60,16.3,2.32,2.43,3
1/15/2020,9/19/2019,B3R1,2,1.342,0.498,0.844,2544,56,55.5,0.99,2522,9.59,62.56,60,14.73,2.26,2.35,3
1/15/2020,9/19/2019,B3R1,3,1.441,0.549,0.892,2694,56,52.5,0.94,2526,8.9,62.95,60,15.89,2.25,2.36,3
1/15/2020,9/19/2019,B3R2,1,1.427,0.634,0.793,2385,55,52.5,0.95,2277,9.66,61.82,60,12.96,2.03,2.09,3
1/15/2020,9/19/2019,B3R2,2,1.603,0.619,0.984,2981,55,59,1.07,3198,8.45,61.45,60,20.82,2.86,2.93,3
1/15/2020,9/19/2019,B3R2,3,1.307,0.548,0.759,2279,55,56.5,1.03,2341,9.17,61.52,60,14.04,2.09,2.15,3
1/15/2020,9/19/2019,B3R3,1,1.692,0.691,1.001,3035,54,54,1,3035,8.69,60.68,60,18.86,2.7,2.73,3
1/15/2020,9/19/2019,B3R3,2,1.68,0.689,0.991,3003,54,54,1,3003,8.45,60.31,60,19.19,2.69,2.7,3
1/15/2020,9/19/2019,B3R3,3,1.632,0.609,1.023,3103,54,51,0.94,2931,8.82,60.48,60,17.94,2.62,2.64,3
