Sample,Rep,Set,Concentration_mg_berry,Antho_type,Antho_short_name,treatment
B1R3,1,Harvest,0.011592697,Petunidin-3-(6-acetyl) glucoside,Pet3Gac,1
B1R3,2,Harvest,0.011892077,Petunidin-3-(6-acetyl) glucoside,Pet3Gac,1
B1R3,3,Harvest,0.009971533,Petunidin-3-(6-acetyl) glucoside,Pet3Gac,1
B1R3,1,1st point,0.009055303,Petunidin-3-(6-acetyl) glucoside,Pet3Gac,1
B1R3,2,1st point,0.007737656,Petunidin-3-(6-acetyl) glucoside,Pet3Gac,1
B1R3,3,1st point,0.007799277,Petunidin-3-(6-acetyl) glucoside,Pet3Gac,1
B1R3,1,Harvest,0.011608381,Peonidin-3-(6-acetyl) glucoside,Peo3Gac,1
B1R3,2,Harvest,0.012566279,Peonidin-3-(6-acetyl) glucoside,Peo3Gac,1
B1R3,3,Harvest,0.010596863,Peonidin-3-(6-acetyl) glucoside,Peo3Gac,1
B1R3,1,1st point,0.010108359,Peonidin-3-(6-acetyl) glucoside,Peo3Gac,1
B1R3,2,1st point,0.008776202,Peonidin-3-(6-acetyl) glucoside,Peo3Gac,1
B1R3,3,1st point,0.008912028,Peonidin-3-(6-acetyl) glucoside,Peo3Gac,1
B1R3,1,Harvest,0.101431472,Malvidin-3-(6-acetyl) glucoside,M3Gac,1
B1R3,2,Harvest,0.107290824,Malvidin-3-(6-acetyl) glucoside,M3Gac,1
B1R3,3,Harvest,0.091130004,Malvidin-3-(6-acetyl) glucoside,M3Gac,1
B1R3,1,1st point,0.05011686,Malvidin-3-(6-acetyl) glucoside,M3Gac,1
B1R3,2,1st point,0.043534952,Malvidin-3-(6-acetyl) glucoside,M3Gac,1
B1R3,3,1st point,0.046885656,Malvidin-3-(6-acetyl) glucoside,M3Gac,1
B1R3,1,Harvest,0.006224379,Peonidin-3-(6-p-coumaroy) glucoside,Peo3Gpc,1
B1R3,2,Harvest,0.006454595,Peonidin-3-(6-p-coumaroy) glucoside,Peo3Gpc,1
B1R3,3,Harvest,0.005558825,Peonidin-3-(6-p-coumaroy) glucoside,Peo3Gpc,1
B1R3,1,1st point,0.006041143,Peonidin-3-(6-p-coumaroy) glucoside,Peo3Gpc,1
B1R3,2,1st point,0.005270144,Peonidin-3-(6-p-coumaroy) glucoside,Peo3Gpc,1
B1R3,3,1st point,0.005470858,Peonidin-3-(6-p-coumaroy) glucoside,Peo3Gpc,1
B1R3,1,Harvest,0.022058114,Malvidin-3-(6-p-coumaroy) glucoside,M3Gpc,1
B1R3,2,Harvest,0.023659876,Malvidin-3-(6-p-coumaroy) glucoside,M3Gpc,1
B1R3,3,Harvest,0.020272286,Malvidin-3-(6-p-coumaroy) glucoside,M3Gpc,1
B1R3,1,1st point,0.009785272,Malvidin-3-(6-p-coumaroy) glucoside,M3Gpc,1
B1R3,2,1st point,0.008537343,Malvidin-3-(6-p-coumaroy) glucoside,M3Gpc,1
B1R3,3,1st point,0.009330135,Malvidin-3-(6-p-coumaroy) glucoside,M3Gpc,1
B1R4,1,Harvest,0.035400647,Delphinidin-3-glucoside,D3G,1
B1R4,2,Harvest,0.036049866,Delphinidin-3-glucoside,D3G,1
B1R4,3,Harvest,0.035137204,Delphinidin-3-glucoside,D3G,1
B1R4,1,1st point,0.019798834,Delphinidin-3-glucoside,D3G,1
B1R4,2,1st point,0.020966365,Delphinidin-3-glucoside,D3G,1
B1R4,3,1st point,0.016400893,Delphinidin-3-glucoside,D3G,1
