Date_analysis,Date_sampled,Block_id,Rep,Control,Treated,dif_abs,Total_tannin_mg_l,Extract_ini_vol,Extract_final_vol,dilution_factor,Conc_w_dil_factor,Skin_weight_aft,Berry_weight,Berry_numb,Total_tannin_mg_g_skin,Total_tannin_mg_g_berry_weight,Total_tannin_mg_berry,treatment
11/20/2019,8/20/2019,B3R3,1,1.299,0.43,0.869,2622,49,53,1.08,2837,6.92,54.38,60,20.09,2.56,2.32,3
11/20/2019,8/20/2019,B3R3,2,1.457,0.495,0.962,2913,49,51.5,1.05,3061,6.89,54.31,60,21.77,2.76,2.5,3
11/20/2019,8/20/2019,B3R3,3,1.355,0.441,0.914,2763,50,53.5,1.07,2956,7.3,54.5,60,20.25,2.71,2.46,3
11/20/2019,8/20/2019,B2R3,1,1.043,0.405,0.638,1901,52,52.5,1.01,1920,7.74,57.54,60,12.9,1.73,1.66,2
11/20/2019,8/20/2019,B2R3,2,1.35,0.439,0.911,2754,52,52,1,2754,7.67,57.29,60,18.67,2.5,2.39,2
11/20/2019,8/20/2019,B2R3,3,1.295,0.468,0.827,2491,52,50.5,0.97,2419,6.23,57.14,60,20.19,2.2,2.1,2
11/21/2019,8/8/2019,B1R2,1,1.655,0.369,1.286,3924,56,55.5,0.99,3889,6.57,60.8,60,33.15,3.58,3.63,1
11/21/2019,8/8/2019,B1R2,2,1.692,0.349,1.343,4102,56,54.5,0.97,3992,6.69,60.8,60,33.42,3.68,3.73,1
11/21/2019,8/8/2019,B1R2,3,1.645,0.295,1.35,4124,56,55,0.98,4050,5.95,60.5,60,38.12,3.75,3.78,1
11/21/2019,8/8/2019,B1R3,1,1.088,0.286,0.802,2413,34,52.5,1.54,3726,4.94,42,60,25.65,3.02,2.11,1
11/21/2019,8/8/2019,B1R3,2,0.953,0.215,0.738,2214,34,53,1.56,3450,5.25,42,60,22.35,2.79,1.96,1
11/21/2019,8/8/2019,B1R3,3,0.964,0.276,0.688,2057,34,54.5,1.6,3298,5.1,42.3,60,21.99,2.65,1.87,1
11/21/2019,8/8/2019,B1R4,1,1.232,0.33,0.902,2725,36,51.5,1.43,3899,5.8,44.8,60,24.2,3.13,2.34,1
11/21/2019,8/8/2019,B1R4,2,1.262,0.345,0.917,2772,36,50,1.39,3850,5.66,44.7,60,24.49,3.1,2.31,1
11/21/2019,8/8/2019,B1R4,3,1.203,0.25,0.953,2885,36,54,1.5,4327,6.27,45,60,24.84,3.46,2.6,1
11/21/2019,8/8/2019,B2R1,1,1.715,0.308,1.407,4302,50,50,1,4302,6.32,54.9,60,34.04,3.92,3.59,2
11/21/2019,8/8/2019,B2R1,2,1.628,0.308,1.32,4030,50,53,1.06,4272,5.99,54.9,60,35.66,3.89,3.56,2
11/21/2019,8/8/2019,B2R1,3,1.587,0.349,1.238,3774,50,52,1.04,3925,5.92,55.1,60,33.15,3.56,3.27,2
11/21/2019,8/8/2019,B2R3,1,1.219,0.253,0.966,2925,44,52,1.18,3457,5.74,47,60,26.5,3.24,2.54,2
11/21/2019,8/8/2019,B2R3,2,1.19,0.23,0.96,2907,44,51,1.16,3369,5.77,47,60,25.69,3.15,2.47,2
11/21/2019,8/8/2019,B2R3,3,1.149,0.212,0.937,2835,44,51.5,1.17,3318,6.3,46.9,60,23.17,3.11,2.43,2
11/21/2019,8/15/2019,B3R1,1,1.31,0.477,0.833,2510,54,51.5,0.95,2394,6.38,58.98,60,20.26,2.19,2.15,3
11/21/2019,8/15/2019,B3R1,2,1.392,0.489,0.903,2729,54,51,0.94,2577,8.56,59.2,60,16.26,2.35,2.32,3
11/21/2019,8/15/2019,B3R1,3,1.432,0.542,0.89,2688,54,51.5,0.95,2564,6.22,59.22,60,22.26,2.34,2.31,3
11/21/2019,8/8/2019,B2R2,1,1.803,0.392,1.411,4315,54,52.5,0.97,4195,6.6,59.6,60,34.32,3.8,3.78,2
11/21/2019,8/8/2019,B2R2,2,1.509,0.341,1.168,3556,54,52,0.96,3424,7.08,59.2,60,26.12,3.12,3.08,2
11/21/2019,8/8/2019,B2R2,3,1.552,0.335,1.217,3709,54,54,1,3709,6.92,59.3,60,28.94,3.38,3.34,2
11/22/2019,8/8/2019,B3R1,1,1.053,0.275,0.778,2338,48,57,1.19,2777,6.38,51.9,60,20.89,2.57,2.22,3
11/22/2019,8/8/2019,B3R1,2,1.244,0.259,0.985,2985,48,56,1.17,3482,6.52,51.9,60,25.63,3.22,2.79,3
11/22/2019,8/8/2019,B3R1,3,1.254,0.355,0.899,2716,48,57,1.19,3225,5.99,51.9,60,25.85,2.98,2.58,3
11/22/2019,8/8/2019,B3R2,1,1.415,0.326,1.089,3309,44,56,1.27,4212,6.03,49.4,60,30.73,3.75,3.09,3
11/22/2019,8/8/2019,B3R2,2,1.361,0.312,1.049,3184,44,52.5,1.19,3800,5.42,49.4,60,30.85,3.38,2.79,3
11/22/2019,8/8/2019,B3R2,3,1.36,0.315,1.045,3172,45,54,1.2,3806,6.38,49.7,60,26.85,3.45,2.85,3
11/22/2019,8/8/2019,B3R3,1,1.525,0.371,1.154,3512,46,52.5,1.14,4009,6.39,51.1,60,28.86,3.61,3.07,3
11/22/2019,8/8/2019,B3R3,2,1.479,0.316,1.163,3540,46,53.5,1.16,4118,6.05,51.4,60,31.31,3.68,3.16,3
11/22/2019,8/8/2019,B3R3,3,1.399,0.316,1.083,3291,46,54,1.17,3863,6.25,51.3,60,28.43,3.46,2.96,3
11/22/2019,9/3/2019,B1R2,1,2.165,0.848,1.317,4021,66,51,0.77,3107,9.76,73.14,60,21.01,2.8,3.42,1
11/22/2019,9/3/2019,B1R2,2,2.231,0.828,1.403,4290,67,50,0.75,3201,7.91,73.97,60,27.11,2.9,3.57,1
11/22/2019,9/3/2019,B1R2,3,2.031,0.641,1.39,4249,67,52,0.78,3298,9.47,73.34,60,23.33,3.01,3.68,1
11/22/2019,9/3/2019,B1R3,1,1.209,0.566,0.643,1917,49,55,1.12,2152,7.58,54.86,60,13.91,1.92,1.76,1
11/22/2019,9/3/2019,B1R3,2,1.442,0.642,0.8,2407,49,52,1.06,2554,6.73,54.64,60,18.6,2.29,2.09,1
11/22/2019,9/3/2019,B1R4,1,1.294,0.516,0.778,2338,47,51.5,1.1,2562,6.09,52.9,60,19.77,2.28,2.01,1
11/22/2019,9/3/2019,B1R4,2,1.145,0.452,0.693,2073,47,50.5,1.07,2227,5.8,52.58,60,18.05,1.99,1.74,1
11/22/2019,8/15/2019,B1R2,1,1.665,0.461,1.204,3668,62,53,0.85,3136,8.27,67.75,60,23.51,2.87,3.24,1
11/22/2019,8/15/2019,B1R2,2,1.803,0.497,1.306,3987,62,51,0.82,3279,8.22,67.69,60,24.74,3,3.39,1
11/22/2019,8/15/2019,B1R2,3,1.604,0.445,1.159,3528,62,53.5,0.86,3044,7.73,67.53,60,24.42,2.79,3.15,1
12/3/2019,9/3/2019,B1R4,3,1.294,0.433,0.861,2597,47,52,1.11,2874,8.66,52.04,60,15.6,2.6,2.25,1
12/3/2019,9/3/2019,B2R1,1,1.974,0.853,1.121,3409,62,51,0.82,2804,10.66,69.09,60,16.31,2.52,2.9,2
12/3/2019,9/3/2019,B2R1,2,1.519,0.513,1.006,3050,62,52.5,0.85,2583,9.33,69.1,60,17.16,2.32,2.67,2
12/3/2019,9/3/2019,B2R1,3,1.688,0.625,1.063,3228,62,53.5,0.86,2786,10.6,69.07,60,16.29,2.5,2.88,2
12/3/2019,9/3/2019,B2R2,1,1.823,0.671,1.152,3506,60,55,0.92,3214,10.5,67.11,60,18.36,2.87,3.21,2
12/3/2019,9/3/2019,B2R2,2,1.661,0.645,1.016,3081,60,58,0.97,2979,11.08,67.33,60,16.13,2.65,2.98,2
12/3/2019,9/3/2019,B2R2,3,1.845,0.657,1.188,3618,60,53,0.88,3196,10.78,67.23,60,17.79,2.85,3.2,2
12/3/2019,9/3/2019,B2R3,1,1.571,0.651,0.92,2782,54,50.5,0.94,2601,9.45,60.4,60,14.87,2.33,2.34,2
12/3/2019,9/3/2019,B2R3,2,1.507,0.576,0.931,2816,54,51,0.94,2660,9.83,60.1,60,14.61,2.39,2.39,2
12/3/2019,9/3/2019,B2R3,3,1.652,0.587,1.065,3234,54,50,0.93,2995,8.16,60.11,60,19.82,2.69,2.7,2
12/3/2019,9/3/2019,B3R1,1,1.357,0.572,0.785,2360,54,52.5,0.97,2295,9.59,59.93,60,12.92,2.07,2.07,3
12/3/2019,9/3/2019,B3R1,2,1.549,0.628,0.921,2785,54,50.5,0.94,2604,9.21,59.81,60,15.27,2.35,2.34,3
12/3/2019,9/3/2019,B3R1,3,1.424,0.584,0.84,2532,54,52,0.96,2438,9.45,59.06,60,13.93,2.23,2.19,3
12/3/2019,9/3/2019,B3R2,1,1.702,0.682,1.02,3094,54,52,0.96,2979,9.23,61.06,60,17.43,2.63,2.68,3
12/3/2019,9/3/2019,B3R2,2,1.692,0.672,1.02,3094,54,50,0.93,2865,9.73,60.77,60,15.9,2.55,2.58,3
12/3/2019,9/3/2019,B3R2,3,1.601,0.612,0.989,2997,54,51,0.94,2831,9.12,60.82,60,16.76,2.51,2.55,3
12/3/2019,9/3/2019,B3R3,1,1.528,0.591,0.937,2835,52,51,0.98,2780,8.77,57.2,60,16.48,2.53,2.41,3
12/3/2019,9/3/2019,B3R3,2,1.632,0.529,1.103,3353,52,52.5,1.01,3385,10.8,56.84,60,16.3,3.1,2.93,3
12/3/2019,9/3/2019,B3R3,3,1.489,0.583,0.906,2738,52,52,1,2738,9.59,57.13,60,14.85,2.49,2.37,3
12/3/2019,9/3/2019,B1R4,3,1.248,0.473,0.775,2329,47,52,1.11,2577,8.66,52.04,60,13.98,2.33,2.02,1
