Sample,Rep,Set,percentage_antho,Antho_type,Antho_short_name,treatment,Concentration_mg_berry
B3R2,3,1st point,4.32,Malvidin-3-(6-p-coumaroy) glucoside,M3Gpc,3,0.009900726
B3R3,1,Harvest,8.39,Delphinidin-3-glucoside,D3G,3,0.046258207
B3R3,2,Harvest,7.95,Delphinidin-3-glucoside,D3G,3,0.038498867
B3R3,3,Harvest,7.58,Delphinidin-3-glucoside,D3G,3,0.036823454
B3R3,1,1st point,10.45,Delphinidin-3-glucoside,D3G,3,0.025903491
B3R3,2,1st point,10.33,Delphinidin-3-glucoside,D3G,3,0.02485505
B3R3,3,1st point,10.53,Delphinidin-3-glucoside,D3G,3,0.028861463
B3R3,1,Harvest,1.65,Cyanindin-3-glucoside,C3G,3,0.009119361
B3R3,2,Harvest,1.61,Cyanindin-3-glucoside,C3G,3,0.007814904
B3R3,3,Harvest,1.67,Cyanindin-3-glucoside,C3G,3,0.008100061
B3R3,1,1st point,4.7,Cyanindin-3-glucoside,C3G,3,0.011652535
B3R3,2,1st point,4.52,Cyanindin-3-glucoside,C3G,3,0.010887014
B3R3,3,1st point,4.55,Cyanindin-3-glucoside,C3G,3,0.012479552
B3R3,1,Harvest,6.23,Petunidin-3-glucoside,Pet3G,3,0.034310788
B3R3,2,Harvest,6.12,Petunidin-3-glucoside,Pet3G,3,0.029626654
B3R3,3,Harvest,5.9,Petunidin-3-glucoside,Pet3G,3,0.028652167
B3R3,1,1st point,7.23,Petunidin-3-glucoside,Pet3G,3,0.017910618
B3R3,2,1st point,7.25,Petunidin-3-glucoside,Pet3G,3,0.017450466
B3R3,3,1st point,7.28,Petunidin-3-glucoside,Pet3G,3,0.019957284
B3R3,1,Harvest,6.15,Peonidin-3-glucoside,Peo3G,3,0.033908709
B3R3,2,Harvest,6.3,Peonidin-3-glucoside,Peo3G,3,0.030497706
B3R3,3,Harvest,6.38,Peonidin-3-glucoside,Peo3G,3,0.030963301
B3R3,1,1st point,9.75,Peonidin-3-glucoside,Peo3G,3,0.024161534
B3R3,2,1st point,9.57,Peonidin-3-glucoside,Peo3G,3,0.023040565
B3R3,3,1st point,9.57,Peonidin-3-glucoside,Peo3G,3,0.0262328
B3R3,1,Harvest,40.07,Malvidin-3-glucoside,M3G,3,0.220783761
B3R3,2,Harvest,40.37,Malvidin-3-glucoside,M3G,3,0.195415534
B3R3,3,Harvest,39.97,Malvidin-3-glucoside,M3G,3,0.194111758
B3R3,1,1st point,28.51,Malvidin-3-glucoside,M3G,3,0.070671579
B3R3,2,1st point,29.19,Malvidin-3-glucoside,M3G,3,0.070242455
B3R3,3,1st point,29.19,Malvidin-3-glucoside,M3G,3,0.080048803
B3R3,1,Harvest,2.06,Delphinidin-3-(6-acetyl) glucoside,D3Gac,3,0.011367527
B3R3,2,Harvest,1.91,Delphinidin-3-(6-acetyl) glucoside,D3Gac,3,0.009235161
B3R3,3,Harvest,1.86,Delphinidin-3-(6-acetyl) glucoside,D3Gac,3,0.009019661
B3R3,1,1st point,3.45,Delphinidin-3-(6-acetyl) glucoside,D3Gac,3,0.008542841
B3R3,2,1st point,3.52,Delphinidin-3-(6-acetyl) glucoside,D3Gac,3,0.008467161
B3R3,3,1st point,3.41,Delphinidin-3-(6-acetyl) glucoside,D3Gac,3,0.009363041
B3R3,1,Harvest,0.63,Cyanindin-3-(6-acetyl) glucoside,C3Gac,3,0.003470906
B3R3,2,Harvest,0.65,Cyanindin-3-(6-acetyl) glucoside,C3Gac,3,0.003123462
B3R3,3,Harvest,0.68,Cyanindin-3-(6-acetyl) glucoside,C3Gac,3,0.003315289
B3R3,1,1st point,1.75,Cyanindin-3-(6-acetyl) glucoside,C3Gac,3,0.004331347
B3R3,2,1st point,1.72,Cyanindin-3-(6-acetyl) glucoside,C3Gac,3,0.004132035
B3R3,3,1st point,1.69,Cyanindin-3-(6-acetyl) glucoside,C3Gac,3,0.004634259
B3R3,1,Harvest,2.35,Petunidin-3-(6-acetyl) glucoside,Pet3Gac,3,0.012940259
B3R3,2,Harvest,2.26,Petunidin-3-(6-acetyl) glucoside,Pet3Gac,3,0.010932101
B3R3,3,Harvest,2.28,Petunidin-3-(6-acetyl) glucoside,Pet3Gac,3,0.011082038
B3R3,1,1st point,3.93,Petunidin-3-(6-acetyl) glucoside,Pet3Gac,3,0.009743214
B3R3,2,1st point,3.88,Petunidin-3-(6-acetyl) glucoside,Pet3Gac,3,0.009346371
B3R3,3,1st point,3.91,Petunidin-3-(6-acetyl) glucoside,Pet3Gac,3,0.010708425
B3R3,1,Harvest,2.94,Peonidin-3-(6-acetyl) glucoside,Peo3Gac,3,0.016204937
B3R3,2,Harvest,2.9,Peonidin-3-(6-acetyl) glucoside,Peo3Gac,3,0.014031572
B3R3,3,Harvest,3.02,Peonidin-3-(6-acetyl) glucoside,Peo3Gac,3,0.014689925
B3R3,1,1st point,5.05,Peonidin-3-(6-acetyl) glucoside,Peo3Gac,3,0.012529166
B3R3,2,1st point,4.8,Peonidin-3-(6-acetyl) glucoside,Peo3Gac,3,0.01155979
B3R3,3,1st point,4.71,Peonidin-3-(6-acetyl) glucoside,Peo3Gac,3,0.012919678
B3R3,1,Harvest,22.49,Malvidin-3-(6-acetyl) glucoside,M3Gac,3,0.123953571
B3R3,2,Harvest,22.32,Malvidin-3-(6-acetyl) glucoside,M3Gac,3,0.108025489
B3R3,3,Harvest,23.05,Malvidin-3-(6-acetyl) glucoside,M3Gac,3,0.111932525
B3R3,1,1st point,19.18,Malvidin-3-(6-acetyl) glucoside,M3Gac,3,0.047554302
B3R3,2,1st point,19.1,Malvidin-3-(6-acetyl) glucoside,M3Gac,3,0.045954313
B3R3,3,1st point,18.95,Malvidin-3-(6-acetyl) glucoside,M3Gac,3,0.051971272
B3R3,1,Harvest,1.46,Peonidin-3-(6-p-coumaroy) glucoside,Peo3Gpc,3,0.008071365
B3R3,2,Harvest,1.62,Peonidin-3-(6-p-coumaroy) glucoside,Peo3Gpc,3,0.007835713
B3R3,3,Harvest,1.64,Peonidin-3-(6-p-coumaroy) glucoside,Peo3Gpc,3,0.007963302
B3R3,1,1st point,2.49,Peonidin-3-(6-p-coumaroy) glucoside,Peo3Gpc,3,0.006162002
B3R3,2,1st point,2.47,Peonidin-3-(6-p-coumaroy) glucoside,Peo3Gpc,3,0.00593534
B3R3,3,1st point,2.5,Peonidin-3-(6-p-coumaroy) glucoside,Peo3Gpc,3,0.006864308
B3R3,1,Harvest,5.57,Malvidin-3-(6-p-coumaroy) glucoside,M3Gpc,3,0.0306724
B3R3,2,Harvest,5.99,Malvidin-3-(6-p-coumaroy) glucoside,M3Gpc,3,0.02899822
B3R3,3,Harvest,5.98,Malvidin-3-(6-p-coumaroy) glucoside,M3Gpc,3,0.029041783
B3R3,1,1st point,3.52,Malvidin-3-(6-p-coumaroy) glucoside,M3Gpc,3,0.00872183
B3R3,2,1st point,3.64,Malvidin-3-(6-p-coumaroy) glucoside,M3Gpc,3,0.008765794
B3R3,3,1st point,3.71,Malvidin-3-(6-p-coumaroy) glucoside,M3Gpc,3,0.0101722
